nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
246.9801,308.19904,265.4374,291.66483,229.15927,296.75226,292.80515,309.4709,212.61133,315.19427,342.4489,408.04025,177.6061,412.49176,385.09164,521.236,151.51129,533.3187,379.99997,628.07245,145.1467,650.3301,310.62598,653.50977,206.8832,650.966,293.4416,833.4783,208.15613,833.4783,,,,
246.03445,308.1092,263.2124,290.93976,227.58408,296.6629,292.47855,308.1092,212.31477,317.6478,343.37616,406.67453,177.32266,407.94632,383.45807,502.06036,149.9652,533.21967,389.18405,568.1945,139.78566,652.13403,309.6565,662.3085,200.22658,652.76984,292.47855,834.63885,204.04391,834.63885,,,,
239.78625,307.4024,258.2346,288.9693,221.33794,295.96118,288.7697,307.4024,207.97879,318.208,339.0255,408.4665,171.7183,407.83087,367.01605,536.8624,144.3639,529.87054,393.09818,527.9637,135.45781,649.36774,306.5819,659.53766,192.07509,658.2664,288.7697,846.41095,198.43655,846.41095,,,,
233.98709,308.60388,250.52481,289.5327,213.63297,297.1612,281.69205,307.3325,200.91164,316.23236,332.57736,409.04538,163.38374,409.6811,377.102,545.08636,136.0329,537.4579,389.18723,478.33725,126.49191,658.242,298.86584,662.0562,186.28212,660.7847,284.23633,846.4108,195.18706,846.4108,,,,
221.71257,309.01544,240.17113,289.29974,203.89052,297.56763,270.7232,304.5635,189.8875,312.83136,319.73383,408.86594,154.24341,409.5019,377.01895,550.6917,124.96433,539.8799,370.01743,472.4649,116.053314,659.44604,288.54523,670.2579,175.24797,660.7181,279.63422,845.7912,186.70499,845.7912,,,,
213.20735,309.75183,231.01703,290.03088,193.48952,298.30096,264.09213,309.75183,179.4962,316.74957,309.8884,411.5373,142.60475,409.6288,364.5895,547.67535,110.80178,541.3137,350.59622,470.70007,104.441185,662.18396,279.99362,664.7286,164.86685,660.2755,271.08878,844.7616,178.86014,844.7616,,,,
204.0757,306.94666,221.23721,290.41418,183.73615,296.13696,253.6534,307.58255,169.7527,316.48468,300.053,412.5004,129.7092,413.13623,360.43607,548.5756,99.19986,544.76044,343.2746,471.0,94.75058,669.3901,266.36563,668.1183,152.5912,666.8466,272.08612,842.98145,169.7527,842.98145,,,,
195.21089,305.98233,213.02852,290.0879,176.75691,295.80988,246.75476,307.25388,159.57564,314.88318,286.84442,415.3359,120.12232,413.42862,348.56976,547.5775,86.39609,543.7629,335.20654,480.18515,85.123405,669.6467,260.11798,668.3751,143.66704,667.7393,270.29947,846.39264,162.75735,846.39264,,,,
188.97949,311.28116,207.42847,291.57922,169.89435,299.20578,239.23705,310.6456,153.99007,314.45886,283.76904,411.6975,116.45595,412.96857,342.2968,554.0598,82.102684,546.4333,327.6649,480.3365,80.194176,673.54254,258.32217,672.90704,138.08577,671.636,262.77536,846.4112,164.805,846.4112,,,,
187.48,310.56134,204.64532,290.85632,166.50012,299.75537,237.06876,310.56134,149.97054,320.09604,286.65753,417.34985,111.82532,416.71423,343.2396,551.4712,81.944916,550.1998,330.5245,479.64316,80.03764,675.4222,256.7771,674.1509,135.3482,671.6082,258.6844,846.4109,166.50012,846.4109,,,,
188.21887,310.63538,206.66342,290.29752,168.50226,298.55975,237.82837,309.36426,151.32974,316.99094,281.07767,412.32474,114.44063,412.96027,343.40756,550.87646,82.63968,548.9698,329.41513,484.77838,82.003654,674.17487,257.54495,672.9037,138.60936,670.997,258.18097,846.4112,169.13829,846.4112,,,,
189.54391,310.77628,208.00452,291.0558,170.44673,298.68954,239.19658,305.6871,152.6227,313.95697,287.5761,411.28705,117.6112,412.55933,344.86768,553.1472,84.50942,549.9665,332.77277,485.7159,82.59969,674.6507,263.38632,671.47003,144.34724,670.83386,263.38632,846.4097,171.0833,846.4097,,,,
193.90297,309.11783,211.0837,290.04236,174.17696,297.67252,244.17249,307.84613,156.99625,317.38385,292.53302,414.66876,120.72584,414.03293,349.16577,550.1047,88.27337,548.83295,335.80295,477.61786,87.63704,673.4594,266.4438,672.82355,146.17876,672.1877,263.26218,846.4104,170.99535,846.4104,,,,
197.72337,309.84818,214.89561,290.14032,177.3711,298.4049,244.78802,307.30524,161.47087,316.20557,289.94464,410.2947,122.67433,412.83765,354.81757,549.52124,94.05394,548.8855,337.0093,483.40454,90.237885,674.1258,268.95636,674.1258,151.93074,672.8544,262.59628,846.4107,174.19106,846.4107,,,,
