nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
216.6008,278.77322,236.31073,262.2442,196.25507,266.69434,268.73676,288.3092,175.27353,294.0308,322.14432,407.19104,130.13144,414.81982,381.90988,529.25146,95.16219,559.7666,367.28638,601.0892,102.15605,702.17053,302.43436,711.7064,174.0019,704.07776,407.97787,644.3189,,,,,,
217.54388,273.9392,237.89494,259.94547,195.9209,261.8537,270.96542,284.11646,174.93385,294.2937,321.2071,409.42392,132.95981,408.15176,387.34802,523.282,90.34979,549.36115,368.26886,595.79486,100.52532,693.75104,300.22006,702.02,170.48207,702.65607,405.79117,649.22546,197.19284,845.7738,,,,
218.6024,276.03705,239.57909,258.23804,198.26138,263.95914,271.3619,287.47928,174.74207,292.56473,320.94318,410.16534,132.15306,410.16534,387.05148,523.9519,87.021416,546.83636,362.26083,581.7987,94.64931,693.67816,306.32306,693.0425,174.10641,692.4068,420.10565,652.99475,191.90482,822.0854,,,,
219.31902,277.80905,240.30504,259.9971,196.42516,265.08624,269.5583,289.89572,174.80319,294.34872,316.6179,408.21793,132.19519,407.5818,396.1104,555.8026,86.40748,553.25806,342.6914,543.7159,86.40748,695.75354,306.44284,707.2041,174.16725,694.4812,288.00058,840.15753,204.05643,840.15753,,,,
218.27263,280.28857,239.27525,266.9315,197.26999,267.5675,270.461,290.4654,174.35802,293.0096,321.37646,408.135,129.17053,406.86288,381.20215,587.50165,85.255936,555.063,371.6555,509.26727,84.6195,701.991,304.82892,716.62024,173.72157,710.2597,413.02432,651.7429,197.90642,826.0212,,,,
216.9624,281.18488,239.21361,265.92572,195.9827,267.8331,269.0938,292.62927,173.73148,295.1725,320.58948,408.98053,127.95755,408.34476,380.34988,572.381,85.36237,555.8502,387.97888,470.01733,84.09087,705.26306,305.96725,717.97906,174.36723,716.7075,288.1663,845.7747,197.88994,845.7747,,,,
216.0215,280.88806,237.64764,267.53436,195.03143,268.17026,267.5426,291.69818,172.13316,291.69818,317.79156,407.43027,125.06454,412.5174,374.40112,571.49,82.448326,558.1363,380.1257,460.84506,83.72044,705.02704,305.0703,708.2064,174.04135,709.4783,410.6567,648.43274,190.57901,828.3898,,,,
215.0294,282.5847,239.81747,267.9646,194.69048,268.60025,269.69028,294.66214,172.44476,292.75516,311.00375,408.4444,124.77539,409.0801,380.91882,580.07135,84.097534,557.18774,342.78333,468.83167,85.36871,707.838,302.10547,716.73724,173.08035,709.1094,290.0292,845.7752,197.23283,845.7752,,,,
215.01955,286.68652,236.63498,268.87463,195.31136,272.05533,268.42236,296.22858,171.78868,296.22858,317.37497,414.55035,126.65059,412.6419,391.75742,561.4983,83.41973,560.226,323.73242,472.43893,87.23422,708.4463,300.84552,719.2606,172.42442,710.9908,291.3093,831.22095,,,,,,
211.79027,289.98492,237.2162,269.63034,191.4495,270.26642,266.45605,300.7983,169.20177,291.2571,312.22278,413.38474,124.07072,413.38474,381.50848,572.40515,83.3892,558.4113,357.35382,475.7207,88.47439,707.8905,303.95935,720.6121,177.4652,716.1595,418.37613,648.73486,197.17035,831.2903,,,,
