nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
247.74248,332.4894,263.01266,326.7698,237.56235,319.77914,278.91913,342.02213,220.38338,330.58286,308.82324,403.03146,182.84418,411.29315,376.2666,403.03146,158.0301,507.2557,336.8186,310.24643,158.0301,594.3211,298.00687,594.95667,212.11201,598.1342,284.0092,740.4893,226.74597,740.4893,278.91913,835.8164,231.19977,835.8164
249.74158,334.00635,264.3684,326.3729,238.29453,321.92007,280.903,344.82034,221.12393,330.82574,309.52066,405.25153,184.23895,407.796,378.839,405.25153,156.25726,507.6665,327.32724,331.46185,156.8932,593.5424,298.0736,598.63135,212.85663,599.90356,284.08276,738.5773,226.21152,737.94116,278.35925,837.17554,231.2991,837.17554
247.61409,333.4005,264.79874,327.0454,238.06703,319.41925,279.43753,343.5687,220.24591,330.22293,308.07864,402.67126,182.05774,410.9329,372.9985,404.5778,157.23546,506.89514,340.53857,316.8772,157.87193,593.9602,297.89514,593.9602,213.88123,600.9508,285.16577,740.12787,225.97412,739.4924,277.52814,833.5481,229.79294,833.5481
247.43959,332.96457,262.0648,324.05972,237.26552,321.51547,277.32587,342.5055,218.82504,332.3285,304.66864,404.20352,181.30823,408.65598,373.9794,417.56085,155.87308,509.15378,365.71298,319.60727,156.50896,595.0222,295.76636,595.0222,209.92276,596.2943,284.95642,740.0443,224.54796,740.0443,279.23352,834.81757,232.17851,834.81757
244.74901,331.33124,259.3859,322.42947,234.56683,320.52194,274.65918,341.5047,218.65717,330.6954,303.93292,403.8171,179.8376,410.81137,379.6629,444.51096,155.01854,509.36673,368.20795,363.12326,153.10939,597.1128,294.38715,597.74866,209.74776,599.0203,282.9322,740.17706,224.38466,738.90533,279.75027,840.0041,230.74852,840.0041
244.17628,331.44998,258.8009,321.91296,232.73093,320.64136,274.0614,340.35117,214.927,333.35736,308.39752,403.93118,180.5909,411.5608,377.70557,480.863,155.15674,505.65924,337.6468,443.9866,141.16795,580.6837,295.68045,599.1219,211.1119,599.1219,284.23505,740.9054,225.10068,739.63367,279.7841,840.09015,230.1875,840.09015
243.45393,333.14432,256.16873,324.24008,230.73912,321.696,272.69797,338.23245,212.93843,336.96042,305.7564,408.83035,183.05865,410.10236,352.16544,492.78455,151.27168,497.87274,336.90765,553.2062,120.12042,537.3057,293.67737,593.27527,209.75972,593.91125,281.5983,737.6511,224.38174,737.6511,279.6911,846.41003,230.1034,846.41003
243.54549,331.736,255.62544,321.55988,231.46556,324.7399,273.42746,334.91602,213.66353,339.36804,310.30307,410.6007,186.32472,409.3287,342.09238,507.90964,143.72704,490.73746,328.1051,591.8624,82.691536,464.02524,293.13684,592.4985,211.75618,599.4945,282.32846,740.0518,225.74348,740.0518,280.4211,840.5408,233.37291,840.5408
244.42545,331.62238,253.96622,320.8103,229.1602,323.3543,273.04776,332.25836,214.53102,341.79846,311.84695,412.39508,185.27263,409.85107,343.0135,510.97598,129.9361,462.63953,334.74478,601.92474,63.150658,381.86682,293.40146,602.5607,214.53102,603.1968,285.13278,744.38995,226.616,743.118,280.04434,843.6069,232.34047,843.6069
243.37779,328.51306,252.91576,317.0715,227.48119,324.06357,271.35583,330.41998,214.7639,343.76846,310.77942,410.5108,188.05757,406.69696,349.56714,503.9501,120.65594,436.57208,351.47476,597.3894,87.59099,334.23383,294.8828,596.7537,215.39977,598.025,282.8014,741.67993,226.20946,741.67993,280.89377,843.38257,230.02463,843.38257
242.06804,331.13004,252.24944,320.32617,226.7959,325.41034,271.33963,331.76556,212.16008,347.65363,312.7017,413.1124,186.07018,410.5703,350.2457,507.8052,121.16358,423.91626,364.24518,600.5914,131.98134,326.6814,297.42953,600.5914,215.97812,601.2269,283.43008,741.6773,226.15955,745.49036,279.61203,839.5476,231.8866,839.5476
241.87698,332.98434,252.05727,320.2692,226.6066,324.7195,271.14523,333.62012,211.97247,346.97098,313.13882,413.7255,185.88554,408.00366,349.40604,509.7248,118.441315,416.90427,364.6764,602.5453,156.6173,333.62012,297.86844,601.9096,216.42633,602.5453,283.87057,744.31915,226.6066,745.59064,279.41672,838.4112,232.33301,838.4112
243.45187,332.72952,252.97983,318.74728,227.57195,326.37393,269.49493,329.55176,210.42165,346.7117,313.32352,412.8094,184.37859,410.26715,348.25934,510.04922,113.87175,412.8094,356.5169,603.4757,151.34836,327.00952,298.0788,600.93353,214.86803,601.5691,282.83405,740.7555,225.03116,743.93335,278.3877,843.71545,233.28873,843.71545
245.53246,330.6407,253.16393,318.56226,228.9976,326.82645,270.33472,329.36926,213.7347,348.4405,312.94376,413.28253,185.75264,405.65405,347.2853,510.5457,115.79754,410.73972,346.01343,607.80884,129.78856,314.74802,296.40887,596.366,215.00658,597.6375,281.14597,742.5786,225.18188,744.4857,279.23807,839.84174,230.90549,839.84174
248.00566,330.64795,255.0064,317.2889,230.82204,326.83105,270.28073,326.19492,215.54768,349.09616,313.558,413.34692,188.18117,405.71317,347.9253,510.6772,116.264496,413.34692,341.561,607.37134,114.3552,316.0166,297.01083,596.5569,214.27483,597.19305,282.37292,739.6897,225.09415,740.9619,281.10007,842.1092,229.54918,842.1092
247.2386,332.65652,252.9636,317.40176,230.69974,326.93597,268.23026,325.66476,213.52477,349.81815,314.0302,412.74396,186.17201,410.20148,349.0163,509.993,115.56375,420.37134,344.5635,602.7927,120.65263,323.75793,297.49133,598.979,214.16086,600.25024,283.49692,740.0855,224.97475,741.35675,280.31635,843.05505,231.33586,843.05505
