nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
234.56044,314.13156,260.01016,294.4184,218.01814,294.4184,303.91092,307.77246,202.11208,304.59293,340.17676,413.96918,159.4838,407.61008,375.80637,546.2381,92.04206,536.69946,198.29462,571.67444,256.82895,509.35544,305.81964,710.3025,172.84488,710.93835,,,,,,,,
235.9266,312.3596,261.99933,292.651,220.02863,292.651,303.97,306.00198,204.76656,302.1874,343.39703,414.0814,161.52402,407.08798,375.193,546.9554,92.844696,536.1475,198.40736,572.3858,256.91196,506.26672,306.51367,711.61755,175.51424,714.7963,,,161.52402,779.6439,,,,
238.1015,309.2316,262.9209,292.06656,223.46443,292.06656,304.28653,307.3244,205.64537,300.96695,345.65216,409.6789,164.27972,407.13593,373.01715,546.99927,96.18551,533.01294,199.91782,571.7932,259.1025,510.76196,308.1049,718.64966,181.46239,720.55695,299.19537,841.348,,,,,,
241.05035,307.21295,266.49512,290.6773,224.51128,290.6773,306.57056,306.57697,208.60832,301.48907,344.73764,408.97083,165.98836,407.06284,376.5436,545.7079,99.19593,532.35223,202.24713,574.32733,265.22287,507.5487,311.65952,711.06445,184.4358,714.8803,304.0261,833.1738,184.4358,833.1738,,,,
244.4216,303.31616,269.86508,287.42148,229.7916,283.60678,310.57468,304.58774,211.34508,295.68674,349.37598,410.76422,171.27159,405.67792,382.45248,546.8227,101.93811,537.9217,205.6203,572.88995,269.229,506.13232,314.39117,707.0411,187.80986,714.67053,,,,,,,,
251.83171,301.77728,278.53168,283.33652,236.57458,282.06473,317.3102,303.68497,216.86746,298.59784,354.81732,407.33484,175.54607,405.42715,387.2387,547.23047,109.43183,542.7792,214.96031,576.48126,285.52454,511.6206,327.48163,715.74097,197.16032,711.9256,306.50308,845.4623,,,,,,
257.50482,301.6692,284.85275,284.507,241.60486,280.69315,325.55664,302.9405,223.1609,298.491,361.80853,407.82074,183.72902,405.2782,401.24045,548.9324,120.7652,546.38983,223.7969,580.0786,283.58075,520.9643,337.6406,717.3764,207.89696,718.012,315.38065,845.7753,103.59325,602.9616,,,,
265.65732,301.87943,292.37634,287.2615,248.4808,285.99042,331.18253,307.59946,232.57664,298.7016,374.4419,412.46683,191.86195,409.28906,406.88638,561.18787,133.97076,551.0189,233.84897,592.9659,291.74017,533.8588,342.6335,713.0868,213.49162,714.35785,,,,,,,,
271.63495,304.33972,299.00818,286.53708,256.3569,283.99384,339.7497,308.15454,237.25931,297.3458,381.7644,414.3345,196.51776,409.88385,414.86688,570.7433,141.13478,554.8481,245.53491,595.5398,292.6423,540.8603,347.3887,713.1643,221.98122,711.2569,,,211.15926,835.87524,,,,
277.13513,303.511,307.02313,284.44153,261.87317,281.89896,348.3576,307.32486,244.06757,293.97626,389.69208,417.9277,200.82535,406.486,419.58005,571.11896,144.86484,558.40594,238.34433,592.731,295.57666,544.4217,355.3527,717.9537,221.17462,715.41113,,,214.81548,830.46344,,,,
