nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
237.86162,295.5609,260.14008,280.30743,217.49274,280.943,286.87424,301.28094,192.66818,309.54324,342.8886,413.77527,151.2939,415.04642,386.1725,558.6832,118.83101,560.58997,388.7186,692.1512,113.10227,695.9645,317.42752,695.3289,186.30292,690.24445,293.87604,844.0503,186.93944,844.0503,,,,
235.6375,295.618,258.54013,277.80875,214.6434,277.80875,285.89606,299.43427,188.55984,308.33887,341.8803,412.65012,145.29929,414.5582,386.4132,559.57623,113.490074,564.02856,392.1389,695.05365,107.128235,698.8699,317.06912,697.5978,178.3809,696.9618,296.7112,844.524,182.19801,844.524,,,,
233.70651,297.11902,257.23633,278.04166,212.08455,276.76984,284.5818,300.29858,182.83127,299.6627,339.9086,418.57822,134.49979,424.93738,388.87607,564.838,100.79493,577.5563,393.96356,695.83594,95.70741,725.0878,319.5585,717.457,176.47186,718.09283,301.7522,842.0957,173.29216,842.0957,,,,
230.71158,289.0065,254.23335,275.65155,209.09695,269.928,280.93378,298.54572,174.76785,296.00192,333.69888,420.64798,120.09557,423.8277,384.55682,577.7274,85.13075,591.71826,392.1855,725.26764,80.68068,746.25385,319.07724,737.3506,169.68207,735.44275,,,,,,,,
225.28891,281.81534,250.71988,267.8327,202.40105,258.93466,277.4224,295.16238,165.52614,283.0865,325.7412,414.65027,101.94874,422.27713,382.9609,577.3571,59.987644,599.60223,390.5902,740.6996,57.44455,771.8427,318.11194,775.0206,152.81067,787.0965,,,,,,,,
216.47763,280.8123,244.45123,263.63873,194.86163,253.46182,272.42484,294.16946,156.7158,272.54352,322.01443,423.92508,86.14601,422.65298,382.412,590.572,38.46372,611.5619,390.04117,769.94006,24.47691,797.2906,311.20645,794.1102,130.64949,796.6545,,,,,,,,
211.4081,275.61877,242.56297,260.99625,187.88298,251.45981,271.8104,296.59897,151.6416,273.71152,321.4039,425.65878,75.97975,422.47998,381.17038,610.6657,21.935577,636.732,389.43597,793.7654,1.5895346,819.1959,311.23087,819.1959,108.40626,819.1959,,,,,,,,
210.32841,276.5291,242.78453,257.45413,187.4182,245.37328,273.33148,292.42493,148.59813,265.71994,325.5158,431.03662,71.59439,416.41248,381.51855,621.7867,17.50085,636.4108,382.15494,794.09753,1.5909865,818.8951,301.96924,818.8951,98.95936,818.8951,,,,,,,,
210.86588,275.22003,246.48726,257.41827,187.9664,243.43121,276.38376,297.4722,152.34503,265.0476,327.27148,432.2568,72.196915,410.6404,381.97574,631.2548,1.5902404,643.3346,375.61478,823.895,1.5902404,823.895,298.64716,823.895,93.82417,823.895,,,,,,,1.5902404,823.895
214.80182,277.28397,251.07945,256.93613,191.25317,245.49048,282.90195,293.18073,155.61197,268.3818,330.63568,436.25153,75.419304,412.0884,383.46103,627.6484,16.865921,646.7245,372.0049,797.4257,0.9546747,828.5834,296.2674,828.5834,91.967,828.5834,,,,,,,,
220.12254,279.82162,256.39645,262.6455,199.75824,248.01405,288.2157,296.99768,163.4843,267.0986,333.399,438.85944,80.75432,414.04956,383.037,639.2471,20.297785,629.70483,372.21844,804.6465,3.7517874,831.36487,300.30698,831.36487,93.48201,831.36487,,,,,,,3.7517874,831.36487
225.27454,279.87714,261.53482,267.16,206.19017,252.5353,292.0698,309.7624,172.47446,266.52414,336.59998,440.74896,85.95869,414.04294,383.0386,644.859,8.34894,619.42474,377.3133,818.448,8.34894,818.448,306.065,818.448,99.95388,818.448,,,,,,,8.34894,818.448
229.83995,283.41162,266.74582,271.9672,213.93225,253.52893,297.92493,311.3869,183.38947,269.42398,343.73907,439.81885,97.48789,416.2942,382.55386,638.18896,26.221386,600.0409,380.0086,799.0469,27.494001,798.411,306.19693,799.0469,114.03189,799.0469,,,,,,,24.312464,822.57153
239.678,291.3214,274.656,281.149,225.05083,265.89038,305.18225,315.48093,193.88861,278.6059,343.97604,437.54993,109.305435,415.93356,381.4979,630.1901,47.61695,598.4013,371.32248,821.5587,40.621353,780.23334,303.9103,789.76996,129.65628,777.6902,,,,,,,,
247.83524,299.08322,281.54407,288.26978,233.84288,271.09552,310.1648,324.52655,208.40224,281.90897,347.05374,443.47424,122.54007,421.2113,383.94263,622.8498,65.29863,588.5013,364.22614,790.13983,61.48253,761.5161,310.1648,797.13684,137.80446,790.77594,,,,,,,,
256.39053,301.30908,285.63324,294.95273,243.04059,277.79062,311.6974,331.8195,216.34071,288.59637,347.2972,433.5209,136.87682,410.63812,381.6256,606.4133,85.3842,575.2673,360.6472,760.8723,82.20564,737.3539,312.3331,775.49194,157.21956,787.569,,,,,,,,
257.06738,308.2841,285.69583,297.47797,244.34361,286.03616,310.5072,331.80334,220.16847,296.84232,344.22516,434.77954,146.3706,416.34552,383.03268,588.6081,96.111725,570.8098,367.12796,735.4445,92.930786,715.1035,309.2348,737.3515,173.7267,744.3437,,,,,,,,
257.982,310.59512,284.68643,300.4243,245.9014,288.34647,308.84763,334.11514,222.37602,299.15295,341.27448,431.3736,151.16414,419.93143,380.69534,573.1294,107.92833,564.2299,376.24463,714.24945,99.02685,711.70685,314.57,702.8073,186.77008,700.90027,301.8536,833.121,182.95515,833.121,,,,
256.00143,308.29584,283.33536,297.48236,243.28796,286.66885,305.58392,323.56195,221.03941,296.84625,338.00327,419.6112,156.20073,410.06992,381.22906,555.734,117.42465,556.3701,384.4074,695.67334,105.982544,687.4042,312.57632,687.4042,190.52708,678.49896,293.50613,826.7074,188.62007,826.7074,,,,
253.1119,304.70355,277.9215,295.17102,239.75287,285.00296,299.5504,323.13315,216.21553,295.17102,336.44675,417.8231,155.78185,408.92603,378.43225,546.83014,120.15778,547.46564,389.88287,677.7438,113.79635,673.9308,307.18414,669.48224,188.2252,668.21124,288.09982,816.2834,187.58907,816.2834,,,,
248.49438,306.54492,272.02274,295.73914,235.77635,286.8402,293.6434,324.97836,212.8839,297.0104,327.3462,414.603,156.28865,406.97537,371.2234,545.544,125.12947,544.9083,385.84915,667.58606,122.58587,667.58606,300.0024,665.0435,188.71964,656.1446,275.83817,840.4789,185.54013,840.4789,,,,
244.48207,311.4254,266.12283,299.9797,229.20628,291.71338,284.58112,324.7787,205.65607,301.88733,317.67874,409.98544,149.64471,407.442,359.68723,529.5293,121.00255,541.61084,373.0536,658.61115,120.36606,658.61115,294.1285,656.0677,182.74232,650.98065,273.12427,841.10626,177.0139,841.10626,,,,
232.9529,313.54382,254.55756,302.73386,219.60886,295.7392,271.71417,329.44077,197.36877,307.18503,304.1212,412.10504,144.628,404.47446,348.60135,525.92737,112.85645,536.7373,354.32022,653.739,107.773,653.739,283.15195,653.10315,177.03497,651.19543,266.63074,822.88275,171.3161,815.8881,,,,
220.52473,318.84134,240.22777,308.66678,207.17752,301.67175,259.29526,329.6518,185.56773,310.5745,287.89642,414.86386,130.90765,411.6843,329.20926,529.9637,102.94204,535.6869,329.84485,654.6022,103.57763,645.0635,270.10013,642.5199,165.86467,642.5199,259.29526,819.93896,168.40698,816.75946,,,,
205.8663,318.44736,226.22923,308.90854,195.0485,303.18524,243.41045,329.89398,171.50388,313.36,273.95483,415.74347,121.23292,411.29202,308.31726,528.9376,91.96121,531.4813,303.86288,651.67065,95.77926,639.58813,249.13753,631.95703,151.7773,632.59296,252.31923,801.7483,167.0495,799.2046,254.22826,839.9036,,
193.70425,320.50192,212.79063,311.59628,182.88866,304.599,230.60458,331.95206,160.62123,316.0491,259.23413,412.739,112.905304,411.46677,292.3172,525.33185,84.911964,526.60406,282.1378,637.92474,89.36545,628.383,239.51155,629.01904,145.35214,629.65515,239.51155,803.3153,161.89365,787.4124,,,,
183.1696,322.80133,201.61096,313.89786,172.35915,309.44614,218.78047,332.97675,150.73825,321.52942,251.21182,413.10797,106.22464,413.10797,283.00726,520.58563,82.06012,526.30927,277.2841,631.87897,83.96785,623.61145,231.49867,623.61145,137.38419,622.9755,241.03728,797.22925,160.9128,785.14594,,,,
177.25592,323.76993,195.05574,314.23032,164.54175,308.5066,212.85556,334.58145,146.10622,323.13394,244.64098,408.99023,106.05661,408.99023,279.60492,518.3775,83.80683,520.9214,276.42636,622.041,83.17113,615.0453,230.01968,613.13745,137.2063,615.0453,244.00526,789.30176,160.0918,770.2226,243.36955,838.90765,164.54175,838.90765
174.29205,321.26944,192.088,311.7272,163.48737,308.54645,211.1551,331.44788,144.42026,320.6333,241.66246,405.24133,105.650475,410.96667,278.52554,508.93384,84.0411,517.8399,278.52554,611.35406,80.86325,605.6287,230.22221,607.5372,136.15784,608.1733,244.84032,774.20856,162.85178,769.7555,246.74702,842.2766,168.57193,842.2766
174.11942,319.7848,191.27238,310.88052,162.0488,308.97244,209.69597,329.96115,144.89581,319.7848,243.3666,404.37558,109.31929,410.09976,277.67255,504.86685,84.54276,515.6792,278.30783,608.5382,81.36629,602.17804,230.66069,607.2662,138.54286,608.5382,244.0019,754.823,160.7782,763.7273,242.73132,846.41,169.03705,846.41
178.53484,321.4092,194.42665,312.51086,165.82137,310.60406,212.86118,330.94315,148.02254,326.49396,245.28047,404.03665,113.6962,411.66376,280.2425,503.82507,88.90496,514.63025,282.7852,601.0712,81.91256,601.0712,235.10973,602.97797,143.57283,602.97797,248.45883,745.3514,162.643,754.88525,242.10211,846.411,167.72838,846.411
185.58403,325.4641,200.83809,315.93124,173.5079,312.1181,219.27005,332.45483,156.9827,329.27722,253.59166,408.7177,123.29668,411.25983,289.18442,500.2332,95.33093,511.67258,285.3709,598.1038,87.06833,601.917,241.51552,602.5525,149.99126,602.5525,252.95605,741.7322,165.2453,750.6295,246.60019,842.78046,169.05882,842.78046
195.70815,321.70966,211.59264,312.1721,183.00056,311.53622,230.01865,329.9756,167.75143,330.61145,262.42303,403.7331,132.80556,410.7273,295.46277,499.1091,107.39036,514.36926,289.74435,595.121,94.68276,598.3002,249.08005,600.84357,160.12688,600.2077,248.44466,729.28326,169.02219,749.6302,236.37244,843.0987,171.5637,843.0987
206.20882,322.40692,220.19371,312.86948,192.85962,312.23364,237.99263,325.58606,179.51042,324.3144,272.95483,403.79312,146.45526,404.42892,303.4673,497.26004,124.84226,506.16168,295.83917,588.18365,110.85738,588.8195,255.79156,589.4553,173.15367,590.0912,246.25642,730.6095,178.23906,743.9619,237.99263,842.5155,173.15367,842.5155
216.27777,323.23746,229.61998,313.06467,203.57089,313.06467,249.3156,326.41647,189.59335,326.41647,280.44742,400.16907,157.19086,402.07645,309.6732,497.44626,137.49522,499.9894,302.68445,586.458,127.32973,587.7296,263.29315,580.10004,181.96922,585.8222,249.95096,720.6115,186.41664,728.87683,242.32683,819.796,176.88649,840.1416
224.85469,325.2185,238.19347,315.05032,211.5159,315.05032,254.70813,333.4802,197.54196,333.4802,287.10226,403.3865,165.78297,404.6575,316.95572,494.9002,146.72758,503.79736,313.14462,583.8719,142.28134,590.8625,269.95242,584.5074,190.55498,590.227,253.43774,719.2359,194.36606,730.6751,243.27489,817.1048,181.66246,838.7121
229.97044,329.74,243.33755,319.56943,217.87639,318.29813,259.8873,333.55392,201.96318,331.64694,289.80417,402.84073,172.04633,402.84073,318.44797,496.28262,151.6774,502.00354,318.44797,582.09656,147.85823,587.8175,273.2544,588.4532,194.96136,587.8175,256.06815,712.4067,201.96318,724.4842,243.33755,837.63153,187.95955,837.63153
232.59114,327.35178,245.92522,317.8142,219.89201,317.17838,263.70398,331.8026,206.55794,329.8951,293.54697,401.10883,176.08002,400.47296,320.85007,495.2126,154.4915,497.75595,324.02484,583.5939,150.0468,581.68634,275.76816,584.86554,197.66855,584.2297,256.08453,715.84784,207.82784,727.2929,244.65529,824.5759,196.39862,845.55853
233.71956,328.37762,248.33435,318.2001,222.9173,318.2001,266.7617,331.55807,208.93793,330.28592,295.99127,401.52847,177.80208,401.52847,325.8563,493.1261,155.56218,498.2148,326.49173,582.17926,149.84334,582.17926,276.9285,584.0876,196.22942,582.81537,255.32402,715.7591,212.75049,727.2088,241.98007,844.2502,200.6774,844.2502
233.82135,327.60748,248.43672,318.07562,223.65416,317.44016,267.50024,331.4202,209.67424,329.51382,296.731,401.9558,179.17259,400.68494,327.2326,493.4615,156.29637,498.54517,327.2326,582.42535,149.30641,582.42535,277.66748,584.9672,196.96523,583.6963,255.4267,722.22577,213.48695,728.58026,242.71768,843.59784,205.22609,843.59784
233.7227,325.5527,248.98166,316.0107,222.91429,315.3746,266.78375,330.0056,208.92693,327.4611,297.93744,400.6162,178.40901,399.98007,329.0911,491.58304,155.5206,499.85275,324.6406,583.8221,147.25534,581.2776,276.9564,583.8221,196.84691,583.186,255.33954,723.771,213.37744,731.4046,244.53111,823.6437,205.74796,844.63605
231.7677,324.73126,245.74103,315.19788,219.06467,314.56232,263.52527,331.72238,205.09134,326.0024,295.28287,399.72714,173.33374,402.90497,327.6756,493.78983,152.37373,498.87427,321.95923,585.94574,145.38707,585.31024,276.2283,587.2169,195.56407,587.2169,257.80893,725.1331,212.71315,736.5731,244.47073,835.08466,205.09134,835.08466
227.998,324.45334,241.995,315.55194,215.27344,314.28033,259.80936,333.35477,201.27644,327.63245,292.8932,405.20184,168.82886,406.47345,329.79434,496.12335,149.74203,506.2964,320.88718,588.9523,141.4711,588.9523,271.26144,598.48956,191.73303,591.49554,255.99197,730.73895,209.5474,741.54785,242.63121,843.91406,204.4576,843.91406
223.28769,323.59277,238.56204,314.05148,211.1955,312.7793,255.74568,333.13406,195.28473,326.13715,286.9308,405.01193,162.19034,408.19238,326.3895,495.3363,147.55243,509.3302,323.20734,589.4772,137.36954,592.02155,273.56573,597.7463,188.92044,599.01843,255.74568,731.32465,206.7405,745.9546,242.38063,842.0037,202.92192,842.0037
