nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
230.17886,326.23416,244.80939,316.06204,218.09277,314.79053,263.8927,335.1348,199.64561,325.59842,297.6065,409.51846,165.9318,408.8827,335.77313,517.59735,139.21518,519.5046,337.04532,621.86163,143.66794,619.95435,282.97598,612.961,193.92062,614.8683,270.8899,774.44354,214.91225,773.80774,,,,
230.42525,326.89948,246.97328,317.3573,218.33244,315.44885,265.4307,336.4417,199.23856,326.26337,299.7997,410.23483,168.05186,409.5987,336.0781,514.56305,141.32042,520.92456,338.62393,623.98047,145.1392,617.61896,282.6152,615.7105,194.78331,616.9828,272.4318,770.29443,213.24072,769.0221,,,219.60538,839.6345
231.41335,327.34964,248.59647,317.8136,220.59431,313.99918,267.05243,337.5214,201.50195,322.8995,301.41873,409.99536,169.04489,409.99536,338.96707,514.89185,142.95198,520.61346,339.6035,620.4241,145.49763,616.6097,284.2356,615.3382,195.13782,615.9739,272.14374,769.18634,212.95735,767.9149,,,219.3215,839.1173
233.2513,326.92465,249.7884,317.387,220.53044,312.93613,268.23364,334.55475,202.0852,327.5605,303.21597,410.21994,170.28308,410.21994,338.83438,514.49805,144.84137,522.1282,342.0146,623.8629,144.84137,616.86865,285.4068,615.597,196.36081,616.86865,272.0499,769.4708,215.4421,768.1991,,,218.6223,839.41345
234.31326,326.99142,250.8567,317.44986,221.58752,312.9971,269.30905,332.7164,204.40778,323.1748,304.3048,410.32138,171.95715,410.32138,339.93686,515.279,145.86938,521.64,343.11832,622.14484,145.86938,616.41986,287.12506,615.7838,198.04489,617.05597,273.12677,770.35767,216.49722,769.0854,,,219.67867,839.69324
235.05447,327.32294,251.5901,317.7815,223.60674,313.96494,271.94165,334.31998,207.70708,328.5951,307.5569,410.65146,172.72784,410.01538,342.5361,515.60724,147.28842,518.7877,343.1721,624.37964,146.65244,616.1104,285.93335,615.47424,195.62335,616.1104,273.21362,770.68164,216.61089,768.7734,,,219.79082,838.7439
236.68996,326.56125,252.58476,316.3935,225.24571,313.85156,272.9301,333.55157,208.7151,326.56125,309.17026,410.44534,173.74655,409.80984,343.50302,515.93585,148.31487,518.47784,343.50302,624.6039,147.67908,616.978,287.55334,616.3426,199.17822,616.978,274.2017,771.40094,216.98041,769.4945,,,219.52359,839.3979
238.52855,325.40762,255.06432,317.1431,225.80873,313.96442,273.50806,334.3079,211.18095,327.31482,309.12357,411.86734,174.92947,407.4172,343.4671,516.76337,150.12581,519.942,344.73904,621.65936,149.48982,617.20917,287.49988,611.48755,198.46114,610.21606,273.50806,771.05664,216.90486,768.5137,,,220.72081,840.9873
239.16853,323.80548,256.32663,315.54178,227.09435,313.63474,274.7557,335.24756,211.20721,328.25516,309.70737,412.1637,173.71361,408.3497,344.65906,517.0494,150.83615,520.2278,345.93,621.2994,149.56519,617.4854,289.37186,616.214,199.7685,616.84973,274.1202,770.0463,218.19756,768.775,,,221.37497,840.6058
239.97484,323.36136,256.50485,314.45605,227.89523,313.18387,274.94217,335.44717,212.00099,323.99747,310.54526,412.4145,173.85483,407.3257,345.51257,517.36993,150.33136,518.6421,346.14835,621.68933,147.78828,616.6005,288.92908,617.87274,199.92137,618.50885,274.3064,772.4435,218.35869,770.5352,,,222.17331,842.41376
