nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
152.36389,323.36273,166.97385,312.55975,135.21309,311.9243,182.85423,327.17554,110.43969,325.26913,209.53328,409.15103,97.100174,397.07715,253.99835,504.4714,161.89214,395.80618,268.6083,616.9494,249.55185,355.1362,229.22498,617.5849,132.67223,627.11694,259.08008,798.6936,145.37654,812.0384,,,141.56525,843.8119
151.35947,323.1507,165.99489,312.3422,134.17876,311.7064,181.90298,330.78027,109.36217,325.69388,207.35588,409.61893,96.635704,396.90298,252.53479,504.35245,162.17696,395.6314,267.17026,617.5241,248.71687,354.9405,232.1725,623.8821,131.63347,628.33264,256.98907,797.4543,142.45096,813.9849,,,139.90567,846.4106
150.3561,323.30045,166.25826,309.94516,131.9096,309.30917,182.1604,328.38815,107.10225,327.7522,209.5121,411.6997,95.6527,394.52863,250.8577,506.45865,163.07784,393.25668,265.48767,616.4808,250.8577,357.6426,229.23076,624.11237,132.54568,626.6562,255.3103,794.5513,142.72307,807.27057,,,140.8148,844.1566
150.33043,321.5246,165.60654,309.44473,131.8718,308.80893,182.15565,323.43195,107.04812,324.06772,192.97623,397.81848,93.04503,394.63956,250.89813,514.1667,161.151,396.54694,262.99173,617.7992,252.80763,354.5853,226.71095,620.97815,129.96228,623.52124,255.35367,801.5403,143.96538,812.34863,161.151,844.1377,140.78287,844.1377
150.37395,318.9561,164.99786,307.50916,132.57092,306.8732,178.98596,322.77176,105.23056,324.0436,189.1591,395.26904,91.87829,393.3612,243.20401,512.2822,149.73811,402.90033,260.37122,617.2126,254.013,352.66098,222.22185,621.6642,128.12016,628.6595,250.19804,795.2762,143.3799,811.17474,161.81874,846.1514,145.92319,846.1514
154.72935,319.61203,165.54099,308.8024,135.65,307.53067,175.71664,321.51962,101.94314,322.79135,181.44044,383.19812,89.22358,396.55118,231.68274,509.09857,160.45316,404.81738,256.4859,613.3797,260.30176,353.31265,220.87111,617.1948,129.9262,626.7328,249.49013,793.9642,143.28174,811.7683,159.81717,845.46893,149.64153,845.46893
157.85327,318.06174,165.4869,304.71286,138.13303,303.44153,176.30124,319.96872,100.600945,323.78268,178.20966,382.26352,87.87821,397.51938,222.73923,499.86087,163.5785,412.1396,248.82085,604.745,272.99405,353.65878,216.37787,615.5512,130.49939,625.0862,250.09311,793.5364,143.22212,812.60614,162.30623,845.02484,146.4028,845.02484
164.24446,313.76813,168.69899,304.868,145.79001,302.96085,176.33531,318.8539,99.97203,322.66824,178.2444,383.6977,87.24482,399.59076,217.0624,500.67078,183.33528,408.49088,245.69864,603.65796,294.062,352.54724,215.15332,616.3724,127.97191,622.7296,250.15315,782.9319,141.33548,814.08234,163.6081,843.3256,141.97185,843.3256
171.19481,314.05954,170.5586,301.33908,150.83612,301.33908,105.02907,322.96384,103.12044,322.32782,179.46553,391.6542,91.66867,403.1026,158.47063,523.3108,191.5535,408.19077,239.2692,603.4495,311.16083,350.94882,214.45703,624.4383,134.29468,626.98236,240.54161,775.1755,142.5654,817.1529,169.2862,846.41,135.56711,846.41
177.55371,315.12344,171.19583,300.5028,159.11583,302.40985,110.16004,324.02295,112.067406,322.11594,180.09686,391.40506,98.080055,401.57596,162.93056,530.619,223.33055,392.6764,229.68843,603.08655,321.8779,347.54312,214.4295,624.06396,136.8632,625.971,227.78107,768.999,143.22108,813.49664,185.18318,845.28064,,
176.76225,312.38983,172.30678,299.67508,162.12283,299.67508,111.20315,322.56168,112.476135,322.56168,90.835266,400.12183,104.20168,400.12183,,,210.49654,402.02908,223.22647,611.82294,322.51987,344.17682,211.13304,625.8092,142.39146,630.2594,213.67903,770.12195,149.39291,803.81616,189.49217,846.41064,,
176.56721,312.38934,170.20284,297.13397,158.74693,297.76962,109.104744,321.28833,111.01406,320.65268,170.20284,389.30185,108.4683,398.20084,,,216.66283,391.20877,366.8623,325.7378,322.94806,339.7219,196.93324,623.2176,144.10886,632.1165,210.9349,771.32184,149.20036,801.1969,184.20447,844.4205,,
175.07945,313.1704,172.53493,301.0872,159.17625,302.3591,108.28597,322.07388,108.92211,322.07388,89.83825,396.48123,105.741455,397.11722,224.69748,374.22263,226.60585,378.67438,358.28442,324.6177,322.02512,336.70096,181.44073,621.6112,145.18143,627.3349,211.9749,768.5181,157.26787,792.68463,189.07428,842.2895,,
171.96773,312.8533,169.42426,300.76672,154.79942,301.40286,105.202126,320.48697,107.745575,320.48697,176.41875,382.82843,107.745575,394.91504,223.47261,372.6502,222.2009,384.73685,358.27554,322.3954,319.48788,336.39038,182.14151,616.9269,152.89183,624.56055,209.48361,769.59985,159.88632,796.3176,,,,
165.28703,319.66293,167.82996,308.21484,146.85086,308.21484,99.80686,321.57092,100.44259,322.20694,179.27309,377.53937,102.34978,395.98355,232.03864,374.35934,205.97372,396.61954,226.9528,593.78107,315.31924,340.01505,184.3589,617.9493,149.39378,625.5813,209.7881,768.68243,158.294,792.85065,190.71622,846.275,142.40076,846.275
157.23044,320.27686,164.22876,306.93137,137.50787,304.3894,169.95467,316.46387,96.79031,320.91235,178.86163,374.29422,98.69894,394.63016,229.12239,365.39725,193.49452,404.16263,229.75859,594.1767,310.5575,341.24832,213.21709,613.87714,147.05106,622.7741,207.49118,770.2097,161.04771,789.9102,,,,
152.58264,319.84332,160.85365,306.48837,134.13194,305.85245,169.12465,314.11978,95.32183,320.4793,176.1232,375.171,100.41168,394.8855,224.47676,363.08795,189.48405,408.87637,228.29416,592.666,309.09552,340.8297,211.1159,607.92883,145.5841,617.468,200.29997,764.3726,154.49133,788.53876,140.49425,846.4101,139.85802,846.4101
152.19337,316.64124,160.46194,305.8303,133.11206,305.19437,169.36656,316.0053,97.49363,317.9131,173.81886,377.0552,101.30989,392.31766,222.15817,364.9724,195.44434,399.313,225.3384,595.8174,308.02405,342.0787,209.4373,607.90015,140.74458,616.16736,189.0839,764.97656,154.1015,787.2343,140.74458,845.10455,138.83646,845.10455
153.77731,317.00647,162.67545,306.2023,134.70992,305.56677,169.66684,316.37094,100.38858,318.27756,172.84473,378.65384,103.56648,392.00018,165.85335,520.3792,194.45445,402.80435,221.14882,582.6621,306.3166,348.14792,186.8275,610.62585,144.24362,612.5325,190.00539,762.51996,155.0485,785.3994,142.33688,846.4112,141.7013,846.4112
154.53157,318.37952,163.43246,306.93604,136.094,306.3003,174.24072,315.20078,101.76194,319.01526,176.78383,380.04718,103.0335,392.76218,162.79669,518.6405,210.4801,394.0337,223.83145,586.0299,309.66156,350.16696,197.12872,607.64545,142.45177,612.7314,190.13516,764.0398,154.53157,793.28424,141.18022,844.77997,138.00131,844.77997
155.77454,317.0079,164.6813,305.5615,136.6886,304.9256,176.13286,313.82837,103.60632,318.27972,183.13104,379.32724,107.4235,392.04544,164.04509,519.2278,203.48938,400.31232,224.4839,584.7266,310.3706,350.0753,198.3998,609.52716,137.961,611.4349,188.22061,769.77686,155.13834,787.5824,171.04327,844.8144,141.77818,844.8144
156.2512,315.6914,167.06941,304.24554,136.52388,303.60965,175.97852,313.78375,104.70563,316.96313,182.34218,378.6436,102.79653,390.72534,163.25122,516.6297,202.70586,400.26355,224.97865,588.4843,310.2516,348.1213,197.61496,608.8325,140.34207,610.7401,189.34221,766.531,154.97849,789.42267,172.7967,845.3801,140.97844,845.3801
156.54514,315.16016,167.98634,304.3524,137.47644,303.7166,176.24944,313.88864,106.330925,316.43164,182.60568,378.09952,106.966545,390.81454,162.26573,517.3291,202.30998,400.35086,223.92114,588.5332,309.09464,348.2192,209.93745,601.2482,141.9258,605.06274,187.05504,770.9939,155.27388,791.3379,174.34256,844.1053,139.38332,844.1053
155.51244,315.8277,166.95396,305.02017,139.62143,303.74872,175.21727,313.9205,106.568146,316.46344,181.57368,378.12994,107.20377,388.93747,161.86884,521.1708,193.0152,407.37384,222.89027,586.0159,308.7017,347.61456,196.82904,606.35956,140.25706,607.631,187.9301,770.3797,159.96191,788.18036,149.15602,844.7609,139.62143,844.7609
157.10005,318.10022,166.00255,302.20322,138.02328,300.93146,172.99734,313.64908,104.32101,317.46436,180.62807,379.78067,104.32101,390.59064,163.45898,517.76685,205.42787,391.86243,225.77641,586.44196,306.53473,346.07898,206.69966,604.8825,138.02328,608.0619,193.34592,766.39624,159.64363,786.7444,145.01811,842.70197,143.74632,842.70197
