nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
195.98015,326.17398,208.70573,316.00317,183.25456,316.00317,227.15784,325.5383,167.3476,329.35233,257.06296,403.09055,158.43968,388.4701,292.69458,488.90665,138.07875,394.8268,285.05923,582.98645,125.35317,415.80408,248.79132,578.53674,166.7113,581.0794,228.43037,734.277,171.16527,744.44775,221.4313,842.9773,172.43784,842.9773
196.65874,327.85318,208.72244,317.0496,183.3252,317.6851,227.77037,325.3112,167.4519,329.7597,257.61212,400.9364,158.56287,387.5908,293.80322,488.0008,129.99098,401.5719,285.5491,585.2332,119.19714,420.63712,249.35803,576.9717,167.4519,580.1492,229.67516,731.39966,172.53136,719.3251,223.32585,841.9777,171.89642,841.9777
198.51193,326.3863,211.87259,315.57678,185.15132,316.84848,227.77809,325.75046,167.97336,334.6524,258.31668,400.78122,150.15918,394.4227,295.2175,490.43668,101.1702,428.75882,285.6742,587.72235,109.441055,459.27982,251.31827,577.54865,167.97336,580.72797,230.9592,732.0612,173.06313,713.62146,222.68835,842.06396,173.06313,842.06396
199.57039,325.65582,211.64375,314.21066,185.5907,315.48233,228.80067,321.84076,170.97556,330.10672,261.8436,401.321,148.0997,400.04932,295.52194,494.7898,87.732834,460.45428,286.62576,587.62274,108.70238,512.5934,251.67651,579.9926,168.43379,581.90015,230.07155,734.50226,172.88187,728.7796,220.53992,846.4104,173.51732,846.4104
200.2304,321.78116,212.31616,310.97656,184.96413,312.24768,229.4907,322.41675,170.33398,331.9502,263.83978,402.49796,144.25412,403.1335,299.461,495.29053,76.192085,472.41016,291.19177,586.17633,103.54411,543.59344,252.39006,582.99854,169.06178,585.5408,231.39896,730.4496,173.51443,729.8141,221.22148,839.1313,173.51443,839.1313
198.72958,322.39285,210.82333,309.04724,184.0898,312.8603,229.91869,324.2994,168.17699,333.832,264.29037,399.9246,142.07997,405.64417,305.6637,488.25995,72.0636,470.4658,298.66205,589.9409,93.06851,543.549,253.46967,579.1373,168.81349,581.0439,231.82823,729.75226,176.45166,722.1263,221.64403,840.9659,173.26909,840.9659
198.0184,319.72647,210.73601,309.55096,184.66495,311.4589,230.44826,321.6344,169.40385,331.8099,266.05746,400.49466,146.5122,400.49466,306.11786,474.90314,74.021996,462.18378,308.66135,575.3865,89.2831,534.0484,248.88873,584.29004,164.9527,584.29004,231.71999,729.29114,175.12677,729.9271,225.9971,841.8579,174.49089,841.8579
199.17438,322.28607,211.26059,310.2038,185.81596,312.1115,230.34406,322.92203,172.45753,333.0966,264.6943,402.41086,144.46844,401.775,309.2224,460.9147,77.040184,458.37103,316.21967,538.49585,90.39862,530.86487,247.51918,584.28143,162.9158,583.6455,231.61629,725.4537,174.36588,728.63324,222.07455,845.6408,174.36588,845.6408
202.26567,323.19623,215.62529,311.7529,189.54224,313.02438,232.80194,323.19623,173.63794,332.0966,265.24673,397.57785,142.46552,403.93527,302.78088,433.17935,82.66534,456.066,314.86813,477.04544,94.11644,527.2689,248.70622,582.57837,163.4592,582.57837,228.34874,724.34845,173.63794,731.3416,221.35083,846.4107,173.63794,846.4107
205.57526,322.47177,217.64854,311.02124,191.59567,314.20193,237.34705,321.1995,176.34523,328.19705,262.76447,396.26404,145.84433,400.71704,292.62994,405.16998,88.65511,459.2419,306.60953,427.4349,96.91577,524.7644,248.14944,583.9255,164.27196,583.2893,228.45096,725.7847,175.7098,730.23773,224.63834,840.29004,175.07436,840.29004
