nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
325.93158,313.73343,338.64594,302.28577,311.94577,308.64557,359.62463,311.1895,299.23138,329.63297,402.21774,397.68298,270.62408,381.14743,427.64648,496.89603,201.9665,345.5325,435.27512,592.2932,128.85889,295.92593,379.96762,589.1133,296.0528,585.9334,358.98892,725.84924,299.23138,732.20905,350.08887,842.86975,297.95996,842.86975
330.48206,312.4788,341.9331,301.6676,315.85004,303.57547,364.83536,312.4788,302.49045,323.28998,403.64185,398.3323,273.86267,378.61777,429.0888,500.0846,203.88368,346.8202,437.35898,591.0257,133.90468,301.03165,380.73965,589.7538,296.1287,588.4819,359.1098,732.207,301.85425,731.57104,350.20334,840.31885,295.49252,840.31885
333.27087,311.14844,346.0009,300.341,319.26788,305.42685,367.6419,314.96283,304.6284,323.86307,403.9224,398.87933,274.7129,380.44315,430.01892,497.41772,218.06438,359.46405,436.38388,590.87024,146.77635,308.60553,381.64487,590.87024,295.71738,589.59875,359.36737,732.63837,305.26486,734.54553,349.1834,840.0769,298.26337,840.0769
332.78912,309.27496,346.15433,299.10562,319.42392,301.64795,365.88385,316.90195,305.42227,319.4443,402.7972,395.71423,276.14615,383.0026,429.52762,498.67865,220.13963,361.3928,438.43777,588.29584,160.95093,319.4443,383.0677,588.29584,295.2393,586.3891,358.8831,735.75104,307.33157,738.2934,346.79074,840.62225,290.7842,840.62225
331.4331,314.5914,345.43442,303.77695,318.70465,303.14078,364.5271,319.68057,302.15765,319.04443,399.53036,398.56274,272.24576,383.93137,426.89655,497.80154,227.05974,371.8446,438.35217,587.49817,173.60023,337.49268,381.71054,593.22345,295.157,586.2258,358.16284,732.5395,301.52124,743.35394,347.98013,846.4096,289.4292,846.4096
327.72946,314.06683,340.45444,306.43726,315.00455,303.25827,357.6331,321.69638,296.55334,319.1532,389.4455,396.0847,267.28595,384.00455,420.6216,491.4543,220.20364,373.19598,437.1641,584.91656,175.66632,344.58508,377.99304,595.72504,292.0996,587.4597,358.9056,734.9648,286.3734,745.7733,351.90692,846.2293,260.9235,846.2293
317.7414,317.36707,331.08478,308.46918,306.30417,306.56247,347.60516,323.72272,287.8776,317.36707,378.73975,394.90598,258.64917,384.73697,412.41595,490.87628,217.9836,375.20346,430.84256,583.0332,178.5888,351.6876,373.02118,591.29553,285.336,583.0332,354.59457,732.39087,282.159,740.01764,349.51138,842.9792,264.36777,842.9792
306.80493,315.33514,321.4399,307.07047,294.7152,301.98453,334.80225,320.42108,276.89874,314.06366,362.16324,394.16736,246.99252,383.3597,399.7051,490.8004,211.35959,379.54526,419.43048,582.9833,176.36296,352.20828,360.89066,584.2547,275.62613,584.2547,350.0735,736.1975,271.80832,746.3693,350.70978,838.5521,260.99118,838.5521
294.41214,315.59357,309.665,306.6874,282.33694,304.1428,324.91788,324.49973,260.7287,314.32126,352.24597,398.29367,234.67172,385.57056,385.9294,491.17227,196.53952,377.93674,406.9021,583.41473,169.21147,354.399,349.06827,585.9593,261.9998,585.9593,343.98398,736.72797,265.813,743.08954,348.43274,841.0573,256.27997,841.0573
284.4239,317.36172,300.33844,307.8201,272.32877,305.91177,312.43356,326.26724,251.32153,314.8173,339.80664,401.3279,220.76552,389.878,370.99924,494.83572,171.112,371.43085,387.5504,583.2547,156.47057,358.7087,334.71402,590.25183,248.13861,590.888,339.80664,734.6483,257.05078,746.09827,349.3554,841.51434,251.32153,841.51434
275.44055,316.0267,291.33588,307.75992,262.72437,303.94446,304.05206,324.2935,239.19936,311.57535,330.1203,400.60242,210.58784,388.52017,358.7318,495.9886,171.16757,380.25336,371.448,587.55927,137.46959,359.9043,325.03384,588.83105,241.10678,591.3747,335.20682,744.62836,247.46487,749.0798,338.38586,839.37866,248.10071,839.37866
268.8644,319.06427,283.4974,310.16602,257.41254,306.98804,296.85794,328.59814,236.41737,310.16602,322.3066,402.32663,200.15305,391.52158,350.93634,495.7584,159.4352,380.08096,362.38824,587.91907,123.80707,360.37766,317.2169,589.19025,230.69142,591.7326,324.21524,745.5455,245.96063,752.5369,323.57904,836.43494,,
264.2207,319.95752,280.12384,311.0516,252.13435,307.2348,290.93796,330.77185,231.77835,311.0516,314.4746,402.019,194.88309,392.477,347.5531,496.80325,152.2627,380.3904,364.0924,584.58997,113.45907,361.30637,314.4746,591.58746,227.9616,594.132,321.472,744.2601,244.50084,750.6214,320.83585,844.13336,240.04797,844.13336
261.42245,320.03506,276.69656,311.12897,250.60327,307.31204,288.78857,329.57733,228.96495,311.7651,312.97256,399.55402,190.14325,388.73944,344.79364,496.24902,153.23082,385.5587,365.15912,586.5825,109.95416,358.8403,313.60898,589.12714,227.0557,596.1248,319.9732,746.8927,241.69339,751.9819,319.3368,834.68164,,
259.90417,320.82123,275.80933,311.92148,249.08864,303.65744,288.53348,329.72092,228.09381,313.82858,313.34555,402.19012,188.64899,386.29776,344.51968,495.00156,147.93173,382.4836,363.60587,586.5416,105.94208,355.1487,313.34555,588.4487,226.18518,594.8057,320.3438,741.0155,242.72658,746.73676,319.0714,837.6411,245.9076,837.6411
260.7828,318.44992,274.76382,313.36255,249.34383,306.3674,288.7448,329.89655,227.10132,315.27032,314.80032,403.66354,189.60683,387.76547,345.30432,497.14417,145.12184,379.49847,361.8273,588.717,104.44985,357.2412,313.52933,589.98883,225.83032,593.16846,321.1553,748.3335,241.71782,749.60535,319.2488,831.0034,,
260.94522,321.07666,277.48138,312.8121,250.13315,304.54755,290.20148,331.2484,229.14499,314.7193,316.27768,403.08646,190.98468,386.55734,348.0779,497.17517,145.82832,382.74295,365.25006,588.08527,108.30402,361.76367,316.27768,589.3567,227.23695,596.3498,323.27374,744.476,241.22908,748.9261,323.27374,839.8362,248.22514,839.8362
264.55798,320.4776,279.19937,312.2144,253.7361,303.31555,292.5676,330.01205,233.36546,312.85,318.03088,403.10965,195.17056,389.7614,349.2234,496.54745,146.15376,382.13385,367.68427,588.07837,108.595436,361.79364,318.66745,595.70593,228.90941,597.61285,324.3967,748.89307,241.00446,749.5288,323.1235,839.1528,252.46294,839.1528
267.7458,321.00043,281.7425,312.73694,255.65768,308.923,294.4668,331.17093,234.6626,315.27954,323.73267,402.99985,199.67078,392.19373,352.36234,499.6193,160.22546,389.65112,370.17636,590.5179,112.509346,362.95364,319.9154,592.42487,232.11775,599.41705,325.64133,756.42365,243.5696,749.4314,313.55325,836.5161,244.20581,836.5161
268.66968,320.5554,285.1966,312.28888,257.86362,308.47357,299.1809,331.36545,238.15843,319.91953,326.51392,402.58463,204.46893,391.7746,360.83905,496.0598,157.43077,384.77988,376.09464,590.17084,115.47781,361.88797,324.60696,595.25793,236.88713,596.5297,324.60696,758.04474,247.05754,757.4088,318.25046,836.8944,248.9645,836.8944
272.58264,318.3383,289.1082,309.43668,261.7775,306.89337,303.09134,327.87573,240.1672,316.4308,333.60004,400.99612,212.2009,391.45868,366.01547,493.8273,168.9803,388.27954,381.90536,587.29425,121.31049,364.118,327.8796,593.6526,243.98079,594.2883,322.79483,750.70245,250.97235,755.7891,308.8117,842.89777,250.97235,842.89777
277.74738,318.44516,292.36917,308.90567,265.66852,302.54602,308.8981,323.5329,246.59663,313.9934,337.50592,400.4848,215.44592,389.67337,369.92816,492.69986,170.30913,383.31372,388.3643,585.55096,125.172356,362.32684,332.4201,595.7264,247.23238,595.7264,317.7983,755.35394,253.58968,757.2618,305.08374,836.7575,247.8681,836.7575
281.94675,318.23825,296.5772,309.97446,270.4968,303.61768,311.84378,325.23068,251.41359,313.15283,341.10477,400.2405,220.24431,390.06964,373.5462,494.3206,172.53625,383.7129,390.72113,587.12933,129.91704,364.00693,336.0159,595.39307,250.77747,595.39307,316.93265,749.8624,257.77466,752.40515,302.9383,828.68634,251.41359,828.68634
284.51556,317.3079,301.04688,308.40488,272.435,303.95337,315.67072,324.3031,252.08879,310.9486,343.01093,399.97864,222.2053,390.4397,376.0735,495.368,175.79053,384.0804,391.33313,588.84955,132.55482,368.8181,337.28854,592.0292,251.45299,592.0292,316.30652,745.2881,256.53952,746.55994,302.9543,838.76965,250.81715,838.76965
287.47595,315.47137,301.46515,306.5682,275.3944,304.02448,318.6337,325.01047,256.31824,314.1995,345.3403,397.50754,226.43227,387.33255,377.76978,492.89847,179.37773,385.4247,390.4872,585.1097,135.50258,367.6184,338.9816,594.0128,250.59538,592.10504,316.0902,740.91486,255.68236,741.5508,301.46515,841.3934,248.68777,841.3934
289.4522,315.40308,304.09125,307.14005,277.99557,303.96194,318.73026,324.93738,256.3553,315.40308,348.64478,397.39798,228.98668,386.59244,379.83228,497.1902,181.25072,384.68558,392.56186,585.54126,136.69716,367.52386,338.46112,593.8043,252.5364,591.89746,316.82083,741.90356,255.08232,746.35297,302.81827,840.4245,246.80809,840.4245
288.6524,318.09503,305.1946,309.19632,276.56384,304.74695,319.1919,327.62936,256.8404,318.09503,349.7314,400.0904,228.20961,389.92044,379.63467,494.7982,183.03658,384.83542,392.3595,585.69226,139.13605,368.94485,338.27914,595.22656,251.7505,593.31976,316.64694,739.513,256.20416,745.86926,300.1047,827.229,246.02434,827.229
288.60095,316.25287,303.86902,309.25653,276.51373,304.16827,319.77325,325.7933,256.79245,315.61682,347.12857,397.0287,229.43713,386.2162,379.57324,496.24942,184.26909,384.3081,392.29663,587.20166,133.3755,365.22717,338.8584,592.2899,253.6116,591.65393,314.68393,742.39307,254.88394,744.30115,301.32434,835.2535,244.06905,835.2535
287.91342,318.6456,304.43732,309.74463,275.83826,306.56573,318.4191,328.1823,256.7722,318.00983,348.28925,400.0257,229.44417,389.21744,378.79492,494.1215,182.41458,384.13116,392.14117,586.30994,137.92712,368.23663,337.48517,594.5751,250.41682,590.12463,312.06375,738.89764,255.50111,744.6197,300.6241,829.1788,244.69702,829.1788
